N°_département_(BAN),Date_réception_DPE,Date_établissement_DPE,Date_visite_diagnostiqueur,Etiquette_GES,Etiquette_DPE,Année_construction,Surface_habitable_logement,Adresse_(BAN),Code_postal_(BAN)
72,2022-12-14,2022-12-14,2022-12-14,A,A,2008,122.3,18 rue des Mortrons 72190 Sargé-lès-le-Mans,72190
72,2021-11-29,2021-11-29,2021-08-12,A,A,2021,86.6,rue de la Vieille Porte 72000 Le Mans,72000
72,2022-09-07,2022-09-06,2022-09-06,A,A,2021,149.5,44 Rue de Carentan 72100 Le Mans,72100
72,2021-08-30,2021-08-30,2021-08-26,A,A,2013,106.9,9 Rue de la Guyonniere 72140 Mont-Saint-Jean,72140
72,2021-08-30,2021-08-30,2021-08-26,A,A,2013,106.9,9 Rue de la Guyonniere 72140 Mont-Saint-Jean,72140
72,2023-07-29,2023-07-29,2023-07-28,A,A,,120.5,rue Bary 72000 Le Mans,72000
72,2023-07-07,2023-07-07,2023-07-05,A,A,2017,84.2,15 Rue de la Petite Roche 72300 Vion,72300
72,2021-11-29,2021-11-29,2021-08-12,A,A,2021,55.3,rue de la Vieille Porte 72000 Le Mans,72000
72,2021-11-29,2021-11-29,2021-08-12,A,A,2021,87,rue de la Vieille Porte 72000 Le Mans,72000
72,2023-06-07,2023-06-07,2023-06-07,A,A,,208,15 rue André Cayatte 72000 Le Mans,72000
72,2021-11-02,2021-11-02,2021-10-22,A,A,2013,150,15 Rue Principale 72500 La BruÃ¨re-sur-Loir,72500
72,2023-04-07,2023-04-07,2023-04-07,A,A,,128.8,Allée des Tilleuls 72400 Cherré-Au,72400
72,2023-03-29,2023-03-29,2023-03-29,A,A,2020,88.7,Rue du Rancher 72220 Teloché,72220
72,2023-05-27,2023-05-27,2023-05-27,A,A,,108.8,15 Allée des Vertolines 72500 Montval-sur-Loir,72500
72,2022-04-30,2022-04-30,2022-04-29,A,A,2012,258.2,4 Route de Saint Fulgent 72110 Saint-Cosme-en-Vairais,72110
72,2022-10-28,2022-10-28,2022-10-28,A,A,2013,150,403 Route des Tamaris 72250 Parigné-l'Évêque,72250
72,2022-09-26,2022-09-26,2022-09-26,A,A,2013,228.8,3 chemin de la chevaudière 72400 Cherré-Au,72400
72,2023-06-21,2023-06-21,2023-06-21,A,A,,133.8,10bis rue de Bagatelle 72530 YvrÃ -l'Ã vÃ que,72530
72,2023-04-05,2023-04-05,2023-04-05,A,A,2018,117.3,3 impasse Baudelaire 72650 Trangé,72650
72,2023-06-21,2023-06-21,2021-07-01,A,A,,179.2,40 Rue Curie 72800 Luché-Pringé,72800
72,2023-03-09,2023-03-09,2023-03-08,A,A,,127.6,1 Rue des Frênes 72550 Brains-sur-Gée,72550
72,2023-04-05,2023-04-05,2023-04-05,A,A,2018,117.3,3 impasse Baudelaire 72650 Trangé,72650
72,2023-07-19,2023-07-19,2023-07-18,A,A,2017,132.9,2 Allée du Clos Lucé 72200 La Flèche,72200
72,2023-04-06,2023-04-06,2023-04-03,A,A,2019,346.3,16 Route de Beauce 72300 Solesmes,72300
72,2023-03-09,2023-03-09,2023-03-08,A,A,1900,360,La Basse Savonnière 72440 Saint-Mars-de-Locquenay,72440
72,2022-09-05,2022-09-05,2022-09-01,A,A,2015,195,67 Rue Saint-Jacques 72200 La Flèche,72200
72,2023-08-31,2023-08-31,2023-08-31,A,A,2016,118.3,6 rue Juan les Pins 72190 Coulaines,72190
72,2023-03-08,2023-03-08,2023-03-03,A,A,,170,Le Bas Bray 72240 Tennie,72240
72,2023-04-05,2023-04-05,2023-04-04,A,A,2022,110,18 Rue des Tanneries 72800 Aubigné-Racan,72800
72,2023-07-10,2023-07-07,2023-07-07,A,A,2021,126.4,7 Impasse du Chatelet 72650 La Bazoge,72650
72,2023-05-15,2023-05-15,2023-05-11,A,A,2018,109.8,16 Allee de la Liberte 72130 Saint-Aubin-de-Locquenay,72130
72,2023-07-05,2023-07-05,2023-07-03,A,A,2013,244.4,10 Allée de la Petite Landrière 72560 Changé,72560
72,2022-01-28,2022-01-24,2022-01-24,A,A,2020,157.4,111 Route de Parigne l’Eveque 72560 Changé,72560
72,2023-02-20,2023-02-20,2023-02-20,A,A,2015,106,9 rue de la forêt 72550 Chaufour-Notre-Dame,72550
72,2022-11-12,2022-11-12,2022-11-08,A,A,,129.1,52 rue de Balyver 72000 Le Mans,72000
72,2022-12-13,2022-12-13,2022-12-13,A,A,,99.6,Chemin des Mardelles 72390 Le Luart,72390
72,2023-04-11,2023-04-11,2023-02-14,A,A,,95.2,10 Chemin de la Thibaudière 72200 La Flèche,72200
72,2022-05-20,2022-05-20,2022-05-20,A,A,2013,147.4,Le Petit Vaugirault 72270 Villaines-sous-Malicorne,72270
72,2022-11-15,2022-11-15,2022-11-15,A,A,2017,176.5,36bis Route de la Californie 72560 Changé,72560
72,2022-01-25,2022-01-25,2022-01-19,A,A,1983,101,rue du Bourg Bas 72100 Le Mans,72100
72,2023-06-06,2023-06-06,2023-06-02,A,A,2021,111.2,3 Impasse de l'Aubépine 72160 Thorigné-sur-Dué,72160
72,2022-01-27,2022-01-27,2022-01-19,A,A,1983,101,rue du Bourg Bas 72100 Le Mans,72100
72,2023-05-16,2023-05-16,2023-05-16,A,A,,135.8,la Barre 72330 Oizé,72330
72,2022-02-25,2022-02-25,2022-02-24,A,A,2017,185.2,14 Route de Fontenay 72560 Changé,72560
72,2023-09-11,2023-09-11,2023-09-07,A,A,,248.5,Lieu Dit la Cadorie 72800 Luché-Pringé,72800
72,2022-05-12,2022-05-12,2022-04-28,A,A,2015,76.2,1 Allée de la Chesnaie 72300 Auvers-le-Hamon,72300
72,2023-05-26,2023-05-26,2023-05-26,A,A,2017,114.2,14 Rue Caroline Aigle 72320 Vibraye,72320
72,2022-04-13,2022-04-13,2022-04-13,A,A,2009,164.2,Lieu Dit les Hardangeres 72210 Voivres-lès-le-Mans,72210
72,2023-08-09,2023-08-08,2023-08-08,A,A,2012,134.7,16 Hameau des Louveries 72380 Montbizot,72380
72,2023-05-12,2023-05-10,2023-05-10,A,A,2014,110.2,14 Rue du Pré Sainfoin 72380 Saint-Jean-d'Assé,72380
72,2023-02-22,2023-02-22,2023-02-20,A,A,2013,124.4,4 Rue de Saint-georges 72400 Saint-Aubin-des-Coudrais,72400
72,2023-04-19,2023-04-19,2023-04-18,A,A,2014,128.2,3 Impasse de Noe 72210 Louplande,72210
72,2022-01-17,2022-01-17,2022-01-17,A,A,2016,122.7,11 Rue des Bleuets 72650 Aigné,72650
72,2022-06-14,2022-06-14,2022-06-13,A,A,2011,227.8,539 Route de la Croix 72530 Yvré-l'Évêque,72530
72,2022-05-18,2022-05-18,2022-05-18,A,A,2020,84.2,21 rue de l'entre deux chemins 72500 Luceau,72500
72,2023-03-17,2023-03-17,2023-03-17,A,A,,205.3,26 Rue de la Tour d'Auvergne 72200 La Flèche,72200
72,2023-02-16,2023-02-16,2023-02-16,A,A,,120.9,11 la Huberderie 72610 Saint-Paterne - Le Chevain,72610
72,2023-09-07,2023-09-07,2023-09-05,A,A,1959,108,7 Rue du Tertre 72380 Montbizot,72380
72,2022-09-10,2022-09-10,2022-09-09,A,A,,90,Rue de Juan les Pins 72190 Coulaines,72190
72,2022-03-29,2022-03-29,2022-03-23,A,A,2012,263.8,10 Grande Rue 72130 Gesnes-le-Gandelin,72130
72,2023-01-26,2023-01-26,2023-01-25,A,A,,77,rue du rossignol 72600 Villeneuve-en-Perseigne,72600
72,2023-08-08,2023-08-08,2023-08-08,A,A,,118.8,7 Rue du Chapuis 72200 La Flèche,72200
72,2023-09-14,2023-09-14,2023-09-14,A,A,2019,213.5,64 Route des Courpins 72560 Changé,72560
72,2023-06-22,2023-06-22,2023-06-22,A,A,2016,120,140 Chemin de la Girouardière 72200 La Flèche,72200
72,2023-03-13,2023-03-13,2023-03-10,A,A,,107.4,9 Rue des Aubèpines 72510 Saint-Jean-de-la-Motte,72510
72,2023-03-07,2023-03-07,2023-03-03,A,A,2017,71.8,4 Allée de Bel Air 72650 La Bazoge,72650
72,2022-03-31,2022-03-31,2022-03-31,A,A,2022,144.8,Rue Auguste Lemercier 72230 Moncé-en-Belin,72230
72,2023-02-20,2023-02-20,2023-02-17,A,A,2017,137.1,22bis Rue des Vignes 72250 Brette-les-Pins,72250
