N°_département_(BAN),Date_réception_DPE,Date_établissement_DPE,Date_visite_diagnostiqueur,Etiquette_GES,Etiquette_DPE,Année_construction,Surface_habitable_logement,Adresse_(BAN),Code_postal_(BAN)
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,46,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2022-07-08,2022-07-08,2022-07-08,B,C,1961,71,Rue de Flore 72000 Le Mans,72000
72,2023-06-02,2023-06-02,2023-06-02,B,C,2011,74,5 Allée des Acacias 72470 Saint-Mars-la-Brière,72470
72,2022-08-30,2022-07-27,2022-07-27,B,D,1993,94,8 Impasse de la Coutardiere 72210 Voivres-lès-le-Mans,72210
72,2021-11-10,2021-11-10,2021-11-10,B,D,1947,82.3,Le Coq Hardi 72110 Torcé-en-Vallée,72110
72,2022-10-20,2022-10-18,2022-10-10,B,D,1948,54.6,14 Rue du Stade 72330 Cérans-Foulletourte,72330
72,2023-01-04,2022-12-27,2022-12-27,B,D,2000,49.5,25 rue du Tertre Saint Laurent 72000 Le Mans,72000
72,2022-06-01,2022-06-01,2022-05-09,B,D,1992,55,56 Rue du Manège 72220 Ecommoy,72220
72,2021-12-04,2021-12-04,2021-12-03,B,D,1980,91.6,9 Rue des Fileuses 72220 Marigné-Laillé,72220
72,2021-11-09,2021-11-09,2021-11-09,B,D,1989,75,12 Rue de la Futaie 72460 Sillé-le-Philippe,72460
72,2021-11-17,2021-11-17,2021-11-17,B,D,1947,108,Le Grand Brouet 72110 Nogent-le-Bernard,72110
72,2021-11-18,2021-11-18,2021-11-18,B,D,1947,116.9,8 Hameau de la Commune 72600 Saint-Pierre-des-Ormes,72600
72,2021-11-18,2021-11-18,2021-11-18,B,D,1947,78,4 Rue du Petit Midi 72400 Préval,72400
72,2021-11-29,2021-11-29,2021-11-29,B,D,1983,90.5,4 Rue des Lilas 72370 Ardenay-sur-Mérize,72370
72,2022-06-01,2022-05-10,2022-05-10,B,D,1980,81,21 Cours des Lilas 72350 Saint-Denis-d'Orques,72350
72,2022-12-05,2022-12-05,2022-12-02,B,D,,87.7,Rue de la Pelouse 72220 Teloché,72220
72,2021-10-30,2021-10-30,2021-10-28,B,D,1948,70,8 Boulevard Saint Germain 72430 Noyen-sur-Sarthe,72430
72,2021-12-01,2021-12-01,2021-12-01,B,D,1948,116.5,9 Rue de l’Espérance 72000 Le Mans,72000
72,2021-11-03,2021-11-03,2021-11-03,B,D,1989,140.4,Le Parc Bereau 72290 Mézières-sur-Ponthouin,72290
72,2022-09-22,2022-09-22,2022-09-22,B,D,1945,65,42 Rue du Général de Gaulle 72260 Marolles-les-Braults,72260
72,2022-06-01,2022-05-10,2022-05-10,B,D,1980,81,21 Cours des Lilas 72350 Saint-Denis-d'Orques,72350
72,2021-11-19,2021-11-19,2021-11-19,B,D,1947,90,11 Chemin de Bellevue 72600 Neufchâtel-en-Saosnois,72600
72,2022-06-02,2022-06-02,2022-05-31,B,D,,78.4,23 Rue de Buenos Aires 72000 Le Mans,72000
72,2022-06-01,2022-06-01,2022-05-09,B,D,1992,71,Rue du Manège 72220 Ecommoy,72220
72,2022-08-11,2022-08-11,2022-08-11,B,D,1974,75.7,22 Rue des Collèges 72230 Arnage,72230
72,2023-09-14,2023-09-13,2023-09-13,B,D,1945,38,13 Rue Jean Jaures 72310 Bessé-sur-Braye,72310
72,2021-11-18,2021-11-18,2021-11-18,B,D,1992,62.2,12 Rue de la Bataille 72100 Le Mans,72100
72,2022-06-01,2022-05-10,2022-05-10,B,D,1980,62,13 Cours des Lilas 72350 Saint-Denis-d'Orques,72350
72,2021-10-06,2021-10-06,2021-10-06,B,D,2006,29.3,3 Allée de la Bade 72300 Précigné,72300
72,2021-11-17,2021-11-17,2021-11-15,B,D,1992,21.8,16 Rue Gastelier 72000 Le Mans,72000
72,2021-11-23,2021-11-23,2021-11-23,B,D,1995,76.8,5 Rue des Noyers 72460 Saint-Corneille,72460
72,2021-10-25,2021-10-25,2021-10-25,B,D,2006,84.1,5 Rue du Gradon 72400 Cherré-Au,72400
72,2021-11-03,2021-11-03,2021-11-03,B,D,1995,21.6,3 allée Alfred Nobel 72000 Le Mans,72000
72,2021-11-29,2021-11-29,2021-11-18,B,D,1947,58.4,14 Rue Dorée 72300 Sablé-sur-Sarthe,72300
72,2021-09-21,2021-09-21,2021-09-21,B,D,1995,24.3,295 Avenue Rubillard 72000 Le Mans,72000
72,2021-10-28,2021-10-28,2021-10-25,B,D,1975,111.2,35 Route de Connérré 72450 Montfort-le-Gesnois,72450
72,2021-10-20,2021-10-20,2021-10-20,B,D,1948,150.4,allée Leprince d'Ardenay 72000 Le Mans,72000
72,2021-09-28,2021-09-24,2021-09-24,B,D,1948,86.1,5 Rue des Tisserands 72290 Courcebœufs,72290
72,2023-01-17,2023-01-17,2023-01-17,B,D,1948,79,48 rue Julien Bodereau 72000 Le Mans,72000
72,2021-11-04,2021-11-04,2021-11-04,B,D,1947,93.4,Les Richardieres 72300 La Chapelle-d'Aligné,72300
72,2023-03-31,2023-03-31,2023-03-17,B,D,,165.6,Lieu Dit les Martinieres 72270 Arthezé,72270
72,2022-10-20,2022-10-18,2022-10-10,B,D,1948,54.6,9bis Rue Renee Auduc 72330 Cérans-Foulletourte,72330
72,2021-11-13,2021-11-13,2021-11-09,B,D,1947,66.4,Lâ€™Oie Qui Couve 72390 Dollon,72390
72,2021-10-25,2021-10-25,2021-10-25,B,D,2004,89.5,36 Rue du Chalet 72210 Chemiré-le-Gaudin,72210
72,2021-10-28,2021-10-28,2021-10-28,B,D,2006,48.8,113 Rue Guillemare 72000 Le Mans,72000
72,2021-11-03,2021-08-17,2021-08-17,B,D,2000,199.9,,72400
72,2021-11-16,2021-11-16,2021-11-16,B,D,1976,83.8,2 Rue du 8 Mai 72230 Mulsanne,72230
72,2022-10-11,2022-10-11,2022-10-11,B,D,1989,100.3,Route de Challes 72250 Parigné-l'Évêque,72250
72,2021-12-28,2021-12-23,2021-12-23,B,D,1989,109.6,7 Rue Alexandre Dumas 72560 Changé,72560
72,2021-11-18,2021-11-17,2021-11-17,B,D,1997,41.1,1 rue Jeanne d'Arc 72000 Le Mans,72000
72,2021-09-07,2021-09-07,2021-09-07,B,D,1974,159.8,89 Route de Bois Martin 72560 Changé,72560
72,2021-11-19,2021-11-19,2021-11-19,B,D,1948,110,34 Rue du Polygone 72100 Le Mans,72100
72,2023-04-28,2022-04-08,2022-03-03,B,D,1945,20.4,44 rue de la Fuie 72000 Le Mans,72000
72,2022-03-28,2022-03-24,2022-03-24,B,D,1998,124.5,5 Rue de la Croix Gilet 72330 Yvré-le-Pôlin,72330
72,2023-05-17,2023-05-17,2023-05-17,B,D,,147.8,8 Route de la Mare 72220 Teloché,72220
72,2022-12-19,2022-12-19,2022-12-15,B,D,,102.5,1 Rue de la Fontaine Saint Medard 72440 Saint-Mars-de-Locquenay,72440
72,2022-05-16,2022-05-10,2022-05-10,B,D,1980,81,21 Cours des Lilas 72350 Saint-Denis-d'Orques,72350
72,2022-10-11,2022-10-11,2022-10-11,B,D,1989,100.3,Route de Challes 72250 Parigné-l'Évêque,72250
72,2021-11-18,2021-11-18,2021-11-18,B,D,2000,90.5,16 Rue de la Jouannette 72380 Sainte-Sabine-sur-Longève,72380
72,2021-11-19,2021-11-19,2021-11-19,B,D,1947,58,8 Rue Henri Poussin 72400 Cormes,72400
72,2021-10-25,2021-10-25,2021-10-25,B,D,1975,209.6,5 Allee Felix Maslin 72530 Yvré-l'Évêque,72530
72,2023-06-28,2023-06-28,2023-06-28,B,D,1945,32.7,34 rue Montoise 72000 Le Mans,72000
72,2021-11-26,2021-11-26,2021-11-26,B,D,1947,50,26 Rue du Général Leclerc 72290 Ballon-Saint Mars,72290
72,2021-11-29,2021-11-23,2021-11-23,B,D,1976,78,21 Cité des Polyanthas 72210 La Suze-sur-Sarthe,72210
72,2021-10-25,2021-10-25,2021-10-22,B,D,1947,86.3,27 Rue du Fort 72600 Mamers,72600
72,2022-06-01,2022-06-01,2022-05-17,B,D,1992,71,Rue du Manège 72220 Ecommoy,72220
72,2021-11-12,2021-11-12,2021-11-12,B,D,1983,75.7,8 Lotissement la Rocherie 72310 Loir en Vallée,72310
72,2021-10-20,2021-10-20,2021-10-20,B,D,2006,37.8,245 Rue Henri Barbusse 72100 Le Mans,72100
72,2021-11-29,2021-11-29,2021-11-29,B,D,1947,121,65 Rue Pasteur 72430 Noyen-sur-Sarthe,72430
72,2022-09-08,2022-09-05,2022-09-05,B,D,1945,73,167 Rue Nationale 72330 Cérans-Foulletourte,72330
72,2021-11-23,2021-11-23,2021-11-19,B,D,1947,54.2,2 Grande Rue 72130 Fresnay-sur-Sarthe,72130
72,2021-11-23,2021-11-23,2021-08-05,B,D,1983,37.6,28 Rue des Rosiers 72220 Saint-Mars-d'Outillé,72220
72,2023-06-22,2023-06-22,2023-06-22,B,D,,107.6,183 Route du Beucher 72470 Saint-Mars-la-Brière,72470
72,2021-11-22,2021-11-22,2021-10-11,B,D,1947,21.8,68 Rue de la Pelouse 72000 Le Mans,72000
72,2022-01-04,2022-01-03,2022-01-03,B,D,1960,16.2,47 Rue Mangeard 72000 Le Mans,72000
72,2022-05-02,2022-05-02,2022-05-02,B,D,2007,98,43 Rue de la Gare 72390 Dollon,72390
72,2023-03-16,2023-03-16,2023-03-16,B,D,,100,Route de la Francoiserie 72290 CourcebÅ ufs,72290
72,2022-12-12,2022-12-01,2022-12-01,B,D,1945,81,1 Rue du Centre 72160 La Chapelle-Saint-Rémy,72160
72,2021-12-03,2021-12-02,2021-12-02,B,D,1998,59.5,1 rue Jeanne d'Arc 72000 Le Mans,72000
72,2021-11-09,2021-11-09,2021-11-08,B,D,2001,58,96 Quai Amiral Lalande 72000 Le Mans,72000
72,2021-11-05,2021-11-05,2021-11-05,B,D,1948,75,Lieu Dit la Corbiniere 72540 Loué,72540
72,2023-06-15,2023-06-15,2023-06-09,B,D,1976,84.2,33 Cité de la Promenade 72430 Fercé-sur-Sarthe,72430
72,2021-10-25,2021-10-25,2021-10-21,B,D,1947,68.9,7 Rue des Délices 72200 Clermont-Créans,72200
72,2021-11-18,2021-11-18,2021-11-15,B,D,1947,51,9 Place Thiers 72130 Fresnay-sur-Sarthe,72130
72,2021-12-02,2021-12-02,2021-12-02,B,D,2004,80.3,17 Rue du Panorama 72300 Sablé-sur-Sarthe,72300
72,2022-12-08,2022-12-08,2022-12-08,B,D,1945,48.1,10ter Avenue Charles de Gaulle 72110 Saint-Cosme-en-Vairais,72110
72,2021-11-29,2021-11-29,2021-11-29,B,D,1979,76.2,9 Rue des Pommiers 72300 Sablé-sur-Sarthe,72300
72,2021-11-21,2021-11-21,2021-11-15,B,D,1947,161.4,15 Rue de Gallerande 72800 Luché-Pringé,72800
72,2021-09-30,2021-09-29,2021-09-29,B,D,1977,163.9,55 Route de Beaufay 72460 Savigné-l'Évêque,72460
72,2022-08-29,2022-08-29,2022-08-29,B,D,2007,93,9 Allée des Primevères 72300 La Chapelle-d'Aligné,72300
72,2021-11-12,2021-11-12,2021-11-12,B,D,1947,138,3 Lieu Dit la Coudre 72110 Prévelles,72110
72,2021-12-02,2021-12-02,2021-12-02,B,D,2006,81.6,1 Impasse du Pin 72560 Changé,72560
72,2021-10-21,2021-10-21,2021-10-11,B,D,1947,42.2,3 Rue Mèneville 72270 Malicorne-sur-Sarthe,72270
72,2022-10-20,2022-10-18,2022-10-10,B,D,1948,54.6,22 Rue du Stade 72330 Cérans-Foulletourte,72330
72,2021-11-15,2021-11-10,2021-11-03,B,D,1948,88.4,3 Rue du Petit Saint-Pierre 72000 Le Mans,72000
72,2021-10-27,2021-10-27,2021-10-27,B,D,1989,73.3,14 Rue Alfred de Vigny 72000 Le Mans,72000
72,2021-12-02,2021-12-02,2021-12-02,B,D,2007,103.3,7 Cite des Bertinieres 72500 Vaas,72500
72,2023-06-12,2023-06-12,2023-06-08,B,D,,115.4,Route du Maspre 72460 Saint-Corneille,72460
72,2021-11-22,2021-11-22,2021-11-22,B,D,2007,176.6,69 Rue Haute Folie 72300 Sablé-sur-Sarthe,72300
72,2021-10-25,2021-10-25,2021-10-25,B,D,1989,147,160 Route de la Croix 72530 Yvré-l'Évêque,72530
72,2021-10-28,2021-10-28,2021-10-27,B,D,1947,125.6,5 Rue de lâ€™Image 72800 Le Lude,72800
72,2021-11-29,2021-11-29,2021-11-26,B,D,2006,93,22 Rue Pablo Picasso 72440 Bouloire,72440
72,2023-06-22,2023-06-22,2023-06-22,B,D,,100.5,6 Rue de Launay 72130 Gesnes-le-Gandelin,72130
72,2022-10-11,2022-10-11,2022-10-11,B,D,1989,100.3,Route de Challes 72250 Parigné-l'Évêque,72250
72,2022-03-12,2022-03-12,2022-03-09,B,D,2006,132.6,4 Rue de la Durandière 72350 Brûlon,72350
72,2021-11-29,2021-11-29,2021-11-29,B,D,1947,157.2,6 Rue des Miracles 72300 Souvigné-sur-Sarthe,72300
72,2023-05-10,2023-05-10,2023-04-19,B,D,,125.5,756 Route de Torcé 72450 Lombron,72450
72,2021-11-02,2021-11-02,2021-11-02,B,D,1947,51,10 Rue Pasteur 72270 Malicorne-sur-Sarthe,72270
72,2022-08-30,2022-07-27,2022-07-27,B,D,1993,65,8 Impasse de la Coutardiere 72210 Voivres-lès-le-Mans,72210
72,2022-09-08,2022-09-05,2022-09-05,B,D,1945,60,167 Rue Nationale 72330 Cérans-Foulletourte,72330
72,2022-09-20,2022-09-20,2022-09-20,B,D,2004,80.9,15 rue de la boulaie 72650 Trangé,72650
72,2021-11-03,2021-11-03,2021-10-28,B,D,1948,69,48 Rue Robert Triger 72130 Douillet,72130
72,2023-06-05,2023-06-05,2023-06-05,B,D,,127.3,Lieu Dit les 4 Vaux 72340 Marçon,72340
72,2022-08-26,2022-08-26,2022-08-16,B,D,2002,21.4,108 Rue de Saint-aubin 72000 Le Mans,72000
72,2023-02-28,2023-02-28,2023-02-28,B,D,1984,72.7,17 Rue du Pressoir 72450 Lombron,72450
72,2022-08-25,2022-08-25,2022-08-23,B,D,,53,lieu dit l entree de moyre 72130 Fresnay-sur-Sarthe,72130
72,2022-10-28,2022-10-28,2022-10-28,B,D,1949,23.3,rue Romain Durand 72000 Le Mans,72000
72,2021-11-08,2021-11-08,2021-11-08,B,D,1948,144.4,3 Avenue Pierre de Coubertin 72700 Saint-Georges-du-Bois,72700
72,2022-05-31,2022-05-31,2022-05-31,B,D,2002,89.2,Rue de la Noë 72200 Le Bailleul,72200
72,2022-12-23,2022-12-23,2022-12-22,B,D,1996,48.7,64 rue Dulcie September 72100 Le Mans,72100
72,2022-03-14,2022-03-14,2022-03-11,B,D,1947,143.6,3 Route du Boulay 72800 Aubigné-Racan,72800
72,2022-01-21,2022-01-20,2022-01-20,B,D,2001,56.3,Avenue du 19 Mars 1962 72700 Allonnes,72700
72,2022-11-11,2022-11-11,2022-11-03,B,D,,27.6,22 rue Beauverger 72000 Le Mans,72000
72,2023-03-17,2023-03-17,2023-03-17,B,D,,166,rue du Levant 72190 Sargé-lès-le-Mans,72190
72,2022-01-11,2022-01-11,2022-01-10,B,D,1947,69.5,Le Grand Oze (Saint-Paterne) 72610 Saint-Paterne - Le Chevain,72610
72,2021-11-15,2021-11-15,2021-11-15,B,D,1947,123,Rue de l’Oisonnière 72220 Laigné-en-Belin,72220
72,2022-10-11,2022-10-11,2022-10-04,B,D,1992,125.9,19ter rue du Stade 72230 Mulsanne,72230
72,2022-04-29,2022-04-29,2022-04-26,B,D,1980,175.9,9 Rue du Grand Pré 72140 Rouessé-Vassé,72140
72,2022-04-20,2022-04-20,2022-04-20,B,D,1947,51.3,4 Rue de la Corderie 72000 Le Mans,72000
72,2021-11-29,2021-11-29,2021-11-29,B,D,1983,90.5,4 Rue des Lilas 72370 Ardenay-sur-Mérize,72370
72,2023-02-21,2023-02-21,2023-02-21,B,D,,119.8,7 Rue Nationale 72200 Crosmières,72200
72,2021-10-29,2021-10-29,2021-10-27,B,D,2006,74,2bis Cité Vivien 72160 Connerré,72160
72,2021-10-28,2021-10-28,2021-10-27,B,D,1947,99.5,19 Rue du Pavé 72110 Beaufay,72110
72,2022-03-01,2022-03-01,2022-02-21,B,D,,84.2,21bis Rue Saint Jean 72300 La Chapelle-d'Aligné,72300
72,2022-06-09,2022-06-09,2022-06-09,B,D,1989,101,9 Rue de lâ€ Arche 72380 Sainte-Jamme-sur-Sarthe,72380
72,2022-09-16,2022-09-16,2022-09-16,B,D,1949,59,8 Rue des Cordeliers 72300 Précigné,72300
72,2021-11-29,2021-11-29,2021-11-26,B,D,2006,57,4 Rue dâ€™Isaac 72000 Le Mans,72000
72,2022-06-08,2022-06-08,2022-06-08,B,D,,28,6 Rue de lâ€ Arche 72000 Le Mans,72000
72,2022-09-19,2022-09-19,2022-09-19,B,D,,160,999 Chemin du Haut Coutil 72450 Lombron,72450
72,2021-11-19,2021-11-19,2021-11-19,B,D,1983,79.1,Chemin Vert 72220 Saint-Ouen-en-Belin,72220
72,2021-10-22,2021-10-22,2021-10-22,B,D,1975,114,25 Route du Bur 72210 Fillé,72210
72,2021-08-06,2021-08-06,2021-08-06,B,D,2001,64.1,19 Avenue de la Republique 72230 Ruaudin,72230
72,2022-08-06,2022-08-06,2022-08-04,B,D,1954,17.7,99 Rue Guillemare 72000 Le Mans,72000
72,2021-11-18,2021-11-18,2021-11-15,B,D,1947,27.8,9 Place Thiers 72130 Fresnay-sur-Sarthe,72130
72,2021-11-08,2021-11-08,2021-11-05,B,D,1947,100,1 Rue de la Petite Vitesse 72300 Sablé-sur-Sarthe,72300
72,2022-12-14,2022-12-14,2022-12-14,B,D,2010,57.8,46 Boulevard Pasteur 72700 Allonnes,72700
72,2022-02-23,2022-02-23,2022-02-22,B,D,2001,63.2,118bis Rue Henri Barbin 72100 Le Mans,72100
72,2022-05-10,2022-05-10,2022-05-10,B,D,,122,Les Petites Rues 72240 Cures,72240
72,2023-01-27,2023-01-27,2023-01-27,B,D,,82.6,7 Rue des Charmes 72290 CourcebÅ ufs,72290
72,2021-07-15,2021-07-15,2021-07-15,B,D,1948,150,Lieu Dit le Chene Blanc 72440 Volnay,72440
72,2021-10-21,2021-10-21,2021-10-11,B,D,1947,42.2,3 Rue Mèneville 72270 Malicorne-sur-Sarthe,72270
72,2022-04-19,2022-04-19,2021-10-27,B,D,2006,40.5,6 Rue de Mayenne 72140 Sillé-le-Guillaume,72140
72,2021-08-24,2021-08-24,2021-08-24,B,D,1948,75,Lieu Dit le Bois Rouge 72290 Souligné-sous-Ballon,72290
72,2022-08-26,2022-08-26,2022-08-26,B,D,1992,69.4,Le Pont Besnon 72270 Mézeray,72270
72,2021-11-16,2021-11-16,2021-11-16,B,D,2006,37.9,6 Rue dâ€™Isaac 72000 Le Mans,72000
72,2021-11-22,2021-11-22,2021-11-22,B,D,1947,53.6,14 Rue du Vieux Bourg 72330 Cérans-Foulletourte,72330
72,2022-11-29,2022-11-29,2022-11-28,B,D,,104.1,30 Place de l'Église 72130 Gesnes-le-Gandelin,72130
72,2022-10-03,2022-09-27,2022-09-27,B,D,1972,172,5 Rue des Prés 72350 Chevillé,72350
72,2021-12-02,2021-12-02,2021-11-30,B,D,1989,101.7,Rue du Pressoir 72600 Mamers,72600
72,2022-10-13,2022-10-13,2022-10-12,B,D,2006,59.6,30 rue de la Solitude 72000 Le Mans,72000
72,2022-05-15,2022-05-15,2022-05-11,B,D,,67.1,Rue de la Noë 72400 La Chapelle-du-Bois,72400
72,2022-06-24,2022-06-24,2021-07-01,B,D,,62.7,1 Rue de Bellevue 72300 Sablé-sur-Sarthe,72300
72,2022-02-10,2022-02-10,2022-02-10,B,D,1991,53.1,15 Rue de Degré 72000 Le Mans,72000
72,2022-03-01,2022-03-01,2022-03-01,B,D,1947,21.7,26 Rue Lèon Loiseau 72500 Montval-sur-Loir,72500
72,2022-01-14,2022-01-14,2022-01-14,B,D,1999,29,224 avenue de la Libération 72000 Le Mans,72000
72,2022-11-23,2022-11-23,2022-11-18,B,D,1980,87,3 Impasse Alfred Rocher 72700 Spay,72700
72,2022-06-13,2022-06-13,2022-06-13,B,D,1991,43.1,27 Rue Beaufils 72100 Le Mans,72100
72,2021-11-19,2021-11-19,2021-11-19,B,D,1978,144.1,29 Rue de Pruillé-le-Chétif 72700 Saint-Georges-du-Bois,72700
72,2023-05-17,2023-05-17,2023-05-17,B,D,1981,107.9,5 rue Sully Prudhomme 72000 Le Mans,72000
72,2021-11-18,2021-11-18,2021-11-18,B,D,1982,126.7,60 Route de Joué l’Abbé 72460 Savigné-l'Évêque,72460
72,2022-12-15,2022-12-15,2022-12-07,B,D,1984,73.3,7 Rue Virette 72400 La Ferté-Bernard,72400
72,2022-09-23,2022-09-23,2022-09-23,B,D,2002,83,2 Allée des Chênes 72170 Beaumont-sur-Sarthe,72170
72,2022-02-11,2022-02-11,2022-02-10,B,D,1983,53.1,15 Rue de Degré 72000 Le Mans,72000
72,2022-11-16,2022-11-16,2022-11-10,B,D,,32.3,11 Boulevard Gambetta 72200 La Flèche,72200
72,2021-11-23,2021-11-23,2021-11-23,B,D,2003,126.5,5 Rue de l’Echelette 72550 Coulans-sur-Gée,72550
72,2022-02-17,2022-02-17,2022-02-17,B,D,1949,20.7,4 Rue Saint Louis 72200 La Flèche,72200
72,2022-03-08,2022-03-08,2022-03-08,B,D,2005,101.5,13 Rue des Jardins 72000 Le Mans,72000
72,2022-03-25,2022-03-25,2022-03-25,B,D,2006,91.5,35 Rue du 21 Janvier 72300 Louailles,72300
72,2021-11-30,2021-11-30,2021-11-30,B,D,1947,131.9,1223 Route de la Rouillerie 72330 La Fontaine-Saint-Martin,72330
72,2021-09-30,2021-09-29,2021-09-29,B,D,1977,163.9,55 Route de Beaufay 72460 Savigné-l'Évêque,72460
72,2022-05-25,2022-05-25,2022-05-25,B,D,1974,77.7,8 Rue Claude Chappe 72700 Allonnes,72700
72,2021-11-25,2021-11-25,2021-11-25,B,D,1947,52.8,4bis Rue Berthelot 72430 Noyen-sur-Sarthe,72430
72,2022-01-24,2022-01-24,2022-01-24,B,D,1947,65,21 Rue dâ€™Estournelles de Constant 72600 Mamers,72600
72,2023-08-04,2023-08-03,2023-08-02,B,D,2008,137,79 Chemin de la Croix 72450 Montfort-le-Gesnois,72450
72,2022-09-13,2022-09-13,2022-09-13,B,D,,77,10 Rue des Bordeaux 72200 Le Bailleul,72200
72,2021-10-25,2021-10-21,2021-10-21,B,D,2010,101.5,45 Rue des Marronniers 72220 Saint-Gervais-en-Belin,72220
72,2022-11-24,2022-11-24,2022-11-24,B,D,,41.1,32 Rue du Bourgneuf 72120 Saint-Calais,72120
72,2021-11-09,2021-11-09,2021-11-09,B,D,1983,144.8,16 Rue de Mostaganem 72000 Le Mans,72000
72,2021-10-29,2021-10-29,2021-10-29,B,D,1947,140.5,3 Lieu Dit la Huguenottiere 72250 Brette-les-Pins,72250
72,2022-09-12,2022-09-12,2022-09-12,B,D,,47.6,27 Rue Jacques Guede 72470 Champagné,72470
72,2022-04-11,2022-04-11,2022-04-11,B,D,1948,61,4 Rue de la Pelouse 72650 Saint-Saturnin,72650
72,2021-09-27,2021-09-27,2021-09-27,B,D,1985,130,7 Rue du Cormier 72550 Degré,72550
72,2022-10-05,2022-10-05,2022-10-03,B,D,2005,89.2,1 Le Champs de la Croix 72390 Le Luart,72390
72,2021-12-30,2021-12-30,2021-12-30,B,D,1948,108,Le Bois de l'Ile 72540 Mareil-en-Champagne,72540
72,2023-01-30,2023-01-30,2023-01-30,B,D,1998,140.8,4 Rue Frédéric Chopin 72300 Précigné,72300
72,2021-11-23,2021-11-23,2021-11-23,B,D,1989,86.1,15 La Croix Boisee 72210 Roézé-sur-Sarthe,72210
72,2022-10-19,2022-10-11,2022-10-11,B,D,,49,18 rue de la Blanchisserie 72000 Le Mans,72000
72,2021-12-02,2021-12-02,2021-12-02,B,D,1947,61.7,16 Rue de lâ€™Abbaye 72140 Rouez,72140
72,2022-12-01,2022-12-01,2022-11-15,B,D,2002,24,109 rue Ambroise Paré 72000 Le Mans,72000
72,2023-05-25,2023-05-25,2023-05-25,B,D,,89.6,Lieu Dit le Potereau de la Monnerie 72200 Clermont-Créans,72200
72,2021-11-09,2021-11-09,2021-11-09,B,D,1948,179.3,2315 Route de Saint Denis du Tertre 72470 Saint-Mars-la-Brière,72470
72,2021-11-13,2021-11-13,2021-11-12,B,D,1947,94.7,6 Lieu Dit le Haut Chapeau 72110 Saint-Georges-du-Rosay,72110
72,2022-06-23,2022-06-22,2022-06-22,B,D,2008,18.2,34 rue du Champ de mars 72100 Le Mans,72100
72,2022-12-07,2022-12-07,2022-12-07,B,D,1998,51,16 allée Prosper Mérimée 72100 Le Mans,72100
72,2022-11-23,2022-11-23,2022-11-23,B,D,,56.8,18 Chemin de la Robinière 72200 La Flèche,72200
72,2022-10-14,2022-10-14,2022-10-10,B,D,1990,43.4,100 avenue du Général Leclerc 72000 Le Mans,72000
72,2022-11-04,2022-11-04,2022-11-03,B,D,,62.3,5 Rue Carnot 72400 La Ferté-Bernard,72400
72,2023-06-30,2023-06-29,2023-06-29,B,D,1990,116.2,137 Route des Augeraies 72220 Saint-Gervais-en-Belin,72220
72,2022-03-10,2022-03-10,2022-03-09,B,D,1947,41.3,14 Rue Chevalier 72600 Mamers,72600
72,2022-06-08,2022-06-08,2022-06-07,B,D,1994,24,33 Rue du Port à l'Abbesse 72000 Le Mans,72000
72,2022-06-20,2022-06-20,2022-06-20,B,D,,50.6,46 Boulevard Pasteur 72700 Allonnes,72700
72,2022-03-30,2022-03-30,2022-03-30,B,D,2001,29,27 rue Edith Piaf 72000 Le Mans,72000
72,2022-10-26,2022-10-26,2022-09-10,B,D,1982,41.7,45 rue de la Rivière 72000 Le Mans,72000
72,2022-04-19,2022-04-19,2022-04-19,B,D,2008,98.4,1 Allée du Vignou 72380 Montbizot,72380
72,2022-08-25,2022-08-25,2022-08-25,B,D,2007,41,64 rue Sagebien 72100 Le Mans,72100
72,2022-12-16,2022-12-16,2022-12-16,B,D,,80.6,5 Rue des Tramways 72650 La Bazoge,72650
